Timestamp,transaction-fees-usd
01/09/2021,47285.3785490517
02/09/2021,92845.1381012617
03/09/2021,22068.6088154034
04/09/2021,833.0571980047
05/09/2021,28277.0167002352
06/09/2021,97828.4224801812
07/09/2021,12393.2442165067
08/09/2021,80689.8457502944
09/09/2021,55889.1869755357
10/09/2021,47406.7059638859
11/09/2021,91640.7920168221
12/09/2021,99167.7181541049
13/09/2021,84460.9594317911
14/09/2021,89971.4868344534
15/09/2021,12826.5218986467
16/09/2021,2737.9729330437
17/09/2021,19183.3582763366
18/09/2021,60600.5965040771
19/09/2021,93391.6500451306
20/09/2021,16446.9819186883
21/09/2021,27241.1811767757
22/09/2021,94535.6534432083
23/09/2021,7336.9066005489
24/09/2021,93234.6850823488
25/09/2021,64042.7042524049
26/09/2021,62745.7090269653
27/09/2021,52078.706935914
28/09/2021,71108.558668003
29/09/2021,72236.7979670709
30/09/2021,38083.9978280262
01/10/2021,55216.7360033639
02/10/2021,22838.4401935786
03/10/2021,80293.799514592
04/10/2021,60229.1505330522
05/10/2021,66280.3773332164
06/10/2021,61095.269037191
07/10/2021,465935.518173376
08/10/2021,126447.816007374
09/10/2021,4229.6442341652
10/10/2021,3621.2524282538
11/10/2021,178728.423132395
12/10/2021,80831.0958769154
13/10/2021,41607.2368537664
14/10/2021,67257.8099765149
15/10/2021,232979.49238158
16/10/2021,62047.8452179555
17/10/2021,89819.9144213337
18/10/2021,78062.2909584112
19/10/2021,41889.2969801712
20/10/2021,228067.689458332
21/10/2021,303056.348397187
22/10/2021,14196.0134359605
23/10/2021,80881.5972299263
24/10/2021,44838.4785748839
25/10/2021,80607.2745837299
26/10/2021,55518.596389572
27/10/2021,45820.7030768984
28/10/2021,84516.8960420062
29/10/2021,77477.7814022825
30/10/2021,42443.2432570005
31/10/2021,48792.6521585952
01/11/2021,100556.2019  66174
02/11/2021,518.8371807287
03/11/2021,11594.7569464233
04/11/2021,77046.9746556587
05/11/2021,56162.2677601856
06/11/2021,98976.7077503691
07/11/2021,75477.0910903122
08/11/2021,573345.935155548
09/11/2021,234525.436276014
10/11/2021,11019.5136367482
11/11/2021,54324.9149534885
12/11/2021,88595.1891287297
13/11/2021,66488.6789599948
14/11/2021,29415.1072599987
15/11/2021,99225.6436486866
16/11/2021,6581.2940457492
17/11/2021,93401.1669025507
18/11/2021,57058.299599361
19/11/2021,59702.2200180126
20/11/2021,49569.8137025136
21/11/2021,6967.1578943944
22/11/2021,2880.6214443682
23/11/2021,98035.5915525709
24/11/2021,66947.0898695759
25/11/2021,9277.5229628414
26/11/2021,61068.8863713552
27/11/2021,1760.9536896841
28/11/2021,41326.4536468608
29/11/2021,26361.5481283619
30/11/2021,181129.15260486
01/12/2021,71589.4088630492
02/12/2021,46979.8404386541
03/12/2021,50159.1807254945
04/12/2021,73206.636199261
05/12/2021,34162.8924632785
06/12/2021,80986.7060246454
07/12/2021,20104.9056730722
08/12/2021,90586.1558632295
09/12/2021,58722.0268532245
10/12/2021,83642.8108950503
11/12/2021,24338.5323917748
12/12/2021,30558.8728047144
13/12/2021,56665.724055777
14/12/2021,62428.3373716127
15/12/2021,11856.9472550005
16/12/2021,19400.8395199393
17/12/2021,5734.9560686475
18/12/2021,28609.2884290677
19/12/2021,13459.4361324032
20/12/2021,59874.8816885735
21/12/2021,30977.1245440699
22/12/2021,35759.812688527
23/12/2021,16961.0598513964
24/12/2021,22897.5178814984
25/12/2021,91321.527965636
