Timestamp,estimated-transaction-volume
08-11-2021,125889.48941427
09-11-2021,100574.93978133994
10-11-2021,80449.79403605
11-11-2021,98257.56368098997
12-11-2021,42797.712006129965
13-11-2021,33926.02828846999
14-11-2021,87814.12363352005
15-11-2021,172619.97947002988
16-11-2021,125182.07688449997
17-11-2021,173140.13427701
18-11-2021,105606.86525593996
19-11-2021,49278.099965259986
20-11-2021,43725.179913130014
21-11-2021,122663.73002316999
22-11-2021,108312.94610404005
23-11-2021,100473.84113069002
24-11-2021,154370.39923949004
25-11-2021,209797.49078659006
26-11-2021,45224.117102359975
27-11-2021,34328.362514490014
28-11-2021,130896.69728955
29-11-2021,104930.52298136996
30-11-2021,150471.89451069006
01-12-2021,135512.53324978997
02-12-2021,107792.28409776998
03-12-2021,155768.02600966988
04-12-2021,69712.07361102
05-12-2021,155029.12461308995
06-12-2021,130614.47356690995
07-12-2021,120016.05204467007
08-12-2021,153096.70575223997
09-12-2021,96269.99303367999
11-12-2021,25738.26463373001
12-12-2021,99493.18428562001
13-12-2021,99033.00378199996
14-12-2021,76179.90056159
15-12-2021,88182.58151229
16-12-2021,104543.61637133005
17-12-2021,63956.37166935
